idMeta,SerialNumber,CollectionDate,DataType,Household_idHousehold,Quality,uploaded
3523,49,2018-07-08,A,10600,26,"2018-07-11 16:00:06"
3524,28,2018-07-08,A,10600,24,"2018-07-11 15:57:21"
3525,100.0,2018-07-08,A,10600,23,"2018-07-11 16:01:44"
3526,63,2018-07-08,A,10600,30,"2018-07-11 15:58:11"
3527,21290,2018-07-08,E,10600,28,"2018-07-12 12:18:50"
3528,9061,2018-07-09,E,10557,28,"2018-07-16 10:54:29"
3621,69,2018-07-22,A,10718,26,"2018-07-25 18:06:58"
3622,70,2018-07-22,A,10718,22,"2018-07-25 18:06:34"
3623,21270,2018-07-22,E,10718,28,"2018-07-25 18:07:43"
3624,100.0,2018-07-20,A,10719,19,"2018-07-25 13:42:23"
3625,100.0,2018-07-20,A,10719,15,"2018-07-25 13:42:41"
3626,98.0,2018-07-22,A,10719,4,"2018-07-25 13:41:40"
3627,100.0,2018-07-22,A,10719,6,"2018-07-25 13:42:56"
3628,21180,2018-07-22,E,10719,28,"2018-07-25 13:43:49"
3629,100.0,2018-07-22,A,10720,27,"2018-07-25 13:10:29"
3630,100.0,2018-07-22,A,10720,26,"2018-07-25 13:10:08"
3631,21040,2018-07-22,E,10720,28,"2018-07-25 13:11:13"
3632,100.0,2018-07-22,A,10721,6,"2018-07-25 13:13:38"
3633,100.0,2018-07-21,A,10721,37,"2018-07-25 13:13:56"
3634,21010,2018-07-22,E,10721,28,"2018-07-25 13:14:37"
3635,100.0,2018-07-22,A,10722,38,"2018-07-25 13:38:28"
3636,100.0,2018-07-22,A,10722,67,"2018-07-25 13:38:12"
3637,21230,2018-07-22,E,10722,28,"2018-07-25 13:39:20"
3638,100.0,2018-07-22,A,10723,10,"2018-07-27 11:00:37"
3639,100.0,2018-07-22,A,10723,2,"2018-07-27 11:00:53"
3640,100.0,2018-07-22,A,10724,62,"2018-07-24 13:33:42"
3641,100.0,2018-07-22,A,10724,45,"2018-07-24 13:34:08"
3642,21130,2018-07-22,E,10723,0,"2018-07-27 11:02:25"
3644,50,2018-07-21,A,10725,26,"2018-07-25 13:36:34"
3645,100.0,NULL,A,10725,0,NULL
3646,21240,2018-07-22,E,10725,28,"2018-07-25 13:32:53"
3647,86,2018-07-22,A,10726,28,"2018-07-27 11:08:17"
3649,5,2018-07-22,A,10726,28,"2018-07-27 11:08:35"
3650,9061,2018-07-23,E,10726,16,"2018-07-27 11:09:24"
3651,57,2018-07-22,A,10727,26,"2018-07-25 14:00:15"
3652,31,2018-07-22,A,10727,34,"2018-07-25 13:59:56"
3653,71,2018-07-23,A,10728,3,"2018-07-25 13:19:01"
3654,64,2018-07-22,A,10728,3,"2018-07-25 13:18:46"
3655,21100,2018-07-22,E,10728,28,"2018-07-25 13:19:38"
3656,21210,2018-07-22,E,10727,29,"2018-07-25 14:01:08"
3657,12,2018-07-22,A,10729,26,"2018-07-27 11:04:59"
3658,100.0,2018-07-22,A,10729,17,"2018-07-27 11:05:37"
3659,100.0,2018-07-22,A,10729,28,"2018-07-27 11:04:37"
3660,100.0,2018-07-22,A,10729,29,"2018-07-27 11:05:18"
3661,21080,2018-07-22,E,10729,28,"2018-07-27 11:06:21"
3662,26,2018-07-22,A,10730,36,"2018-07-25 18:04:15"
3663,21110,2018-07-22,E,10730,28,"2018-07-25 18:05:07"
3664,100.0,NULL,A,10731,0,NULL
3665,100.0,2018-07-22,A,10731,5,"2018-07-25 18:19:38"
3666,93,2018-07-22,A,10731,44,"2018-07-25 18:19:08"
3667,92,NULL,A,10731,0,NULL
3668,21120,2018-07-22,E,10731,28,"2018-07-25 18:18:26"
3669,13,2018-07-22,A,10732,20,"2018-07-24 13:29:43"
3670,-1,2018-07-22,E,10732,28,"2018-07-24 14:19:28"
3671,97.0,2018-07-22,A,10745,35,"2018-07-25 18:29:46"
3672,85,2018-07-22,A,10745,41,"2018-07-25 18:29:25"
3673,21190,2018-07-22,E,10745,24,"2018-07-25 18:30:45"
3674,100.0,2018-07-22,A,10733,26,"2018-07-25 18:09:10"
3675,21070,2018-07-22,E,10733,0,"2018-07-25 18:10:21"
3676,100.0,2018-07-22,A,10735,50,"2018-07-25 13:25:51"
3677,21030,2018-07-22,E,10735,0,"2018-07-25 13:26:46"
3678,100.0,2018-07-22,A,10736,30,"2018-07-24 13:39:19"
3679,21090,2018-07-22,E,10736,16,"2018-07-24 13:40:17"
3680,8,NULL,A,10737,0,NULL
3681,68,NULL,A,10737,0,NULL
3682,25,2018-07-20,A,10737,74,"2018-07-25 13:53:52"
3683,16,2018-07-22,A,10737,76,"2018-07-25 13:54:10"
3684,7,2018-07-22,A,10737,71,"2018-07-25 13:53:31"
3685,21170,2018-07-22,E,10737,29,"2018-07-25 13:55:03"
3686,32,2018-07-22,A,10738,13,"2018-07-25 13:22:05"
3687,33,2018-07-22,A,10738,12,"2018-07-25 13:22:24"
3688,43,2018-07-22,A,10738,23,"2018-07-25 14:39:16"
3689,2116,2018-07-22,E,10738,28,"2018-07-25 13:23:27"
3690,14,2018-07-22,A,10739,19,"2018-08-22 12:40:48"
3691,29,2018-07-22,A,10739,20,"2018-08-22 12:40:29"
3692,10,2018-07-22,A,10739,30,"2018-08-22 12:40:05"
3693,27,2018-07-22,A,10739,33,"2018-08-22 12:39:47"
3694,21200,2018-07-22,E,10739,28,"2018-08-22 13:10:36"
3695,2,NULL,A,10740,0,"2018-08-22 10:53:45"
3696,35,NULL,A,10740,0,"2018-08-22 10:50:26"
3697,37,2018-07-24,A,10740,4,"2018-07-27 11:03:02"
3698,21060,2018-07-22,E,10740,0,"2018-07-27 11:03:47"
3699,4,2018-07-21,A,10741,26,"2018-07-25 13:50:47"
3700,3,2018-07-22,A,10741,31,"2018-07-25 13:50:28"
3701,36,2018-07-22,A,10741,10,"2018-07-25 13:50:07"
3702,21140,2018-07-22,E,10741,28,"2018-07-25 13:51:25"
3703,28,NULL,A,10743,0,NULL
3704,63,NULL,A,10743,0,NULL
3705,49,NULL,A,10743,0,NULL
3706,100.0,NULL,A,10743,0,NULL
3707,21290,2018-07-22,E,10743,0,"2018-10-02 11:29:23"
3708,100.0,2018-07-22,A,10744,22,"2018-07-25 13:56:45"
3709,21260,2018-07-22,E,10744,28,"2018-07-25 13:57:40"
3710,51,2018-07-22,A,10742,8,"2018-07-25 13:06:09"
3711,65,2018-07-22,A,10742,6,"2018-07-25 13:06:27"
3712,21050,2018-07-22,E,10742,28,"2018-07-25 13:07:13"
3794,21150,2018-07-22,E,10724,28,"2018-08-22 13:33:30"
