dt,Meta_idMeta,Watt,idElectricity
"2018-07-08 17:00:00",3506,3198.28611713666,5917717
"2018-07-08 17:10:00",3506,2053.73983333333,5917718
"2018-07-08 17:20:00",3506,1725.3105,5917719
"2018-07-08 17:30:00",3506,1453.45583333333,5917720
"2018-07-08 17:40:00",3506,1591.934,5917721
"2018-07-08 17:50:00",3506,1254.973,5917722
"2018-07-08 18:00:00",3506,1378.54566666667,5917723
"2018-07-08 18:10:00",3506,1301.3235,5917724
"2018-07-08 18:20:00",3506,1064.752,5917725
"2018-07-08 18:30:00",3506,2997.32666666667,5917726
"2018-07-08 18:40:00",3506,2901.48313856427,5917727
"2018-07-08 18:50:00",3506,1223.73383333333,5917728
"2018-07-08 19:00:00",3506,1269.942,5917729
"2018-07-08 19:10:00",3506,2389.65666666667,5917730
"2018-07-08 19:20:00",3506,1145.54416666667,5917731
"2018-07-08 19:30:00",3506,2089.98266666667,5917732
"2018-07-08 19:40:00",3506,1201.4805,5917733
"2018-07-08 19:50:00",3506,1222.51216666667,5917734
"2018-07-08 20:00:00",3506,1812.24733333333,5917735
"2018-07-08 20:10:00",3506,1083.845,5917736
"2018-07-08 20:20:00",3506,1116.83188647746,5917737
"2018-07-08 20:30:00",3506,615.432833333333,5917738
"2018-07-08 20:40:00",3506,1128.09483333333,5917739
"2018-07-08 20:50:00",3506,982.868666666667,5917740
"2018-07-08 21:00:00",3506,766.578166666667,5917741
"2018-07-08 21:10:00",3506,1598.3945,5917742
"2018-07-08 21:20:00",3506,1148.63266666667,5917743
"2018-07-08 21:30:00",3506,1009.23233333333,5917744
"2018-07-08 21:40:00",3506,1090.71583333333,5917745
"2018-07-08 21:50:00",3506,1181.88933333333,5917746
"2018-07-08 22:00:00",3506,1205.87562604341,5917747
"2018-07-08 22:10:00",3506,1028.17616666667,5917748
"2018-07-08 22:20:00",3506,801.762,5917749
"2018-07-08 22:30:00",3506,658.588833333333,5917750
"2018-07-08 22:40:00",3506,585.050500000001,5917751
"2018-07-08 22:50:00",3506,426.474,5917752
"2018-07-08 23:00:00",3506,319.742666666667,5917753
"2018-07-08 23:10:00",3506,409.316,5917754
"2018-07-08 23:20:00",3506,508.676166666667,5917755
"2018-07-08 23:30:00",3506,496.500833333333,5917756
"2018-07-08 23:40:00",3506,320.432554257095,5917757
"2018-07-08 23:50:00",3506,317.802166666666,5917758
"2018-07-09 00:00:00",3506,502.654833333333,5917759
"2018-07-09 00:10:00",3506,503.198333333333,5917760
"2018-07-09 00:20:00",3506,359.055166666667,5917761
"2018-07-09 00:30:00",3506,237.636833333333,5917762
"2018-07-09 00:40:00",3506,319.484666666666,5917763
"2018-07-09 00:50:00",3506,387.572666666666,5917764
"2018-07-09 01:00:00",3506,361.934833333333,5917765
"2018-07-09 01:10:00",3506,314.817333333333,5917766
"2018-07-09 01:20:00",3506,298.8632721202,5917767
"2018-07-09 01:30:00",3506,385.585666666667,5917768
"2018-07-09 01:40:00",3506,386.127666666667,5917769
"2018-07-09 01:50:00",3506,324.842333333334,5917770
"2018-07-09 02:00:00",3506,270.239,5917771
"2018-07-09 02:10:00",3506,336.970666666666,5917772
"2018-07-09 02:20:00",3506,427.044,5917773
"2018-07-09 02:30:00",3506,380.335166666667,5917774
"2018-07-09 02:40:00",3506,235.211666666667,5917775
"2018-07-09 02:50:00",3506,276.510666666666,5917776
"2018-07-09 03:00:00",3506,478.439232053422,5917777
"2018-07-09 03:10:00",3506,385.015333333333,5917778
"2018-07-09 03:20:00",3506,235.089,5917779
"2018-07-09 03:30:00",3506,279.19,5917780
"2018-07-09 03:40:00",3506,441.080666666667,5917781
"2018-07-09 03:50:00",3506,381.880666666667,5917782
"2018-07-09 04:00:00",3506,266.371833333334,5917783
"2018-07-09 04:10:00",3506,306.4465,5917784
"2018-07-09 04:20:00",3506,303.201166666667,5917785
"2018-07-09 04:30:00",3506,639.381,5917786
"2018-07-09 04:40:00",3506,532.891166666667,5917787
"2018-07-09 04:50:00",3506,424.00183639399,5917788
"2018-07-09 05:00:00",3506,407.612666666666,5917789
"2018-07-09 05:10:00",3506,485.533166666666,5917790
"2018-07-09 05:20:00",3506,312.267333333333,5917791
"2018-07-09 05:30:00",3506,405.927,5917792
"2018-07-09 05:40:00",3506,543.489833333333,5917793
"2018-07-09 05:50:00",3506,476.001166666667,5917794
"2018-07-09 06:00:00",3506,374.122833333333,5917795
"2018-07-09 06:10:00",3506,1770.6525,5917796
"2018-07-09 06:20:00",3506,1398.852,5917797
"2018-07-09 06:30:00",3506,983.601335559266,5917798
"2018-07-09 06:40:00",3506,1782.88566666667,5917799
"2018-07-09 06:50:00",3506,1727.85483333333,5917800
"2018-07-09 07:00:00",3506,1518.91266666667,5917801
"2018-07-09 07:10:00",3506,2616.92466666667,5917802
"2018-07-09 07:20:00",3506,1396.53266666666,5917803
"2018-07-09 07:30:00",3506,1608.348,5917804
"2018-07-09 07:40:00",3506,1400.52483333333,5917805
"2018-07-09 07:50:00",3506,1102.41316666667,5917806
"2018-07-09 08:00:00",3506,1027.83422370618,5917807
"2018-07-09 08:10:00",3506,672.223999999999,5917808
"2018-07-09 08:20:00",3506,498.862833333334,5917809
"2018-07-09 08:30:00",3506,417.0025,5917810
"2018-07-09 08:40:00",3506,421.086166666667,5917811
"2018-07-09 08:50:00",3506,495.607,5917812
"2018-07-09 09:00:00",3506,512.096833333333,5917813
"2018-07-09 09:10:00",3506,435.951333333333,5917814
"2018-07-09 09:20:00",3506,333.904666666666,5917815
"2018-07-09 09:30:00",3506,433.148,5917816
